,Order,Sample_Site,DATE,Sp,Species,root_leaves,PT,Plot,Treatment,code,aseptate,arbuscule,vesicle,septate,total
ITS139,187,RMBL,16-Aug,ACLE,ACLE,leaves,1,1,C,RMBL.ACLE.leaves.1.C,0,0,0,0,0.17
ITS153,188,RMBL,16-Aug,POPR,POPR,leaves,5,5,C,RMBL.POPR.leaves.5.C,0,0,0,0,0.52
ITS146,189,RMBL,16-Aug,FETH,FETH,leaves,3,3,C,RMBL.FETH.leaves.3.C,0,0,0,0,0.14
ITS162,191,RMBL,16-Aug,POPR,POPR,leaves,8,7,W,RMBL.POPR.leaves.8.W,0,0,0,0,0.01
ITS183,192,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,4C,4,C,KY.FEAR_Em.leaves.4.C,0,0,0,0,7.37037037
ITS151,193,RMBL,16-Aug,ACLE,ACLE,leaves,5,5,C,RMBL.ACLE.leaves.5.C,0,0,0,0,0.05
ITS51,194,RMBL,16-Aug,ACLE,ACLE,root,6,5,W,RMBL.ACLE.root.6.W,0.51,0,0.07,0.06,0.57
ITS54,195,RMBL,16-Aug,ACLE,ACLE,root,7,7,C,RMBL.ACLE.root.7.C,0.82,0.01,0.08,0.11,0.93
ITS176,196,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,2C,2,C,KY.FEAR_Em.leaves.2.C,0,0,0,0,0.16
ITS178,197,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,3C,3,C,KY.FEAR_Ep.leaves.3.C,0,0,0,0,0
ITS161,199,RMBL,16-Aug,FETH,FETH,leaves,8,7,W,RMBL.FETH.leaves.8.W,0,0,0,0,0.1
ITS143,201,RMBL,16-Aug,FETH,FETH,leaves,2,1,W,RMBL.FETH.leaves.2.W,0,0,0,0,0.57
ITS148,202,RMBL,16-Aug,ACLE,ACLE,leaves,4,3,W,RMBL.ACLE.leaves.4.W,0,0,0,0,0.309090909
ITS56,203,RMBL,16-Aug,POPR,POPR,root,7,7,C,RMBL.POPR.root.7.C,0.51,0.07,0.07,0.01,0.52
ITS144,204,RMBL,16-Aug,POPR,POPR,leaves,2,1,W,RMBL.POPR.leaves.2.W,0,0,0,0,0.00990099
