,Order,Sample_Site,DATE,Sp,Species,root_leaves,PT,Plot,Treatment,code,aseptate,arbuscule,vesicle,septate,total
ITS76,38,KY,16-Oct,FEAR_Em,FEAR_Em,root,3C,3,C,KY.FEAR_Em.root.3.C,0.615384615,0.019230769,0.086538462,0.086538462,0.701923077
ITS72,39,KY,16-Oct,FEAR_Ep,FEAR_Ep,root,2C,2,C,KY.FEAR_Ep.root.2.C,0.4,0.02,0.04,0,0.4
ITS47,40,RMBL,16-Aug,POPR,POPR,root,4,3,W,RMBL.POPR.root.4.W,0.48,0,0.1,0.06,0.54
ITS110,41,Kessler,16-Jul,SPCO,SPCO,leaves,6W,6,W,Kessler.SPCO.leaves.6.W,0,0,0,0,0.277227723
ITS60,42,RMBL,16-Aug,ACLE,ACLE,root,9,9,C,RMBL.ACLE.root.9.C,0.67,0.05,0.04,0.18,0.85
ITS188,43,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,1W,1,W,KY.ELCA_Ep.leaves.1.W,0,0,0,0,0.137254902
ITS89,44,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,2W,2,W,KY.ELCA_Ep.root.2.W,0.542056075,0,0.028037383,0,0.542056075
ITS77,45,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,4C,4,C,KY.ELCA_Ep.root.4.C,0.34,0.02,0.1,0.03,0.37
ITS62,46,RMBL,16-Aug,POPR,POPR,root,9,9,C,RMBL.POPR.root.9.C,0.48,0.03,0.02,0.01,0.49
ITS92,47,KY,16-Oct,FEAR_Em,FEAR_Em,root,2W,2,W,KY.FEAR_Em.root.2.W,0.45,0.03,0.11,0.07,0.52
ITS166,48,RMBL,16-Aug,ACLE,ACLE,leaves,10,9,W,RMBL.ACLE.leaves.10.W,0,0,0,0,0.475728155
ITS198,49,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,3W,3,W,KY.FEAR_Ep.leaves.3.W,0,0,0,0,0.2
ITS53,50,RMBL,16-Aug,POPR,POPR,root,6,5,W,RMBL.POPR.root.6.W,0.435643564,0,0.03960396,0.03960396,0.475247525
ITS7,51,Kessler,16-Jul,SPCO,SPCO,root,6W,6,W,Kessler.SPCO.root.6.W,0.03,0,0,0,0.03
ITS116,52,Kessler,16-Jul,SONU,SONU,leaves,5C,5,C,Kessler.SONU.leaves.5.C,0,0,0,0,19.16
ITS61,53,RMBL,16-Aug,FETH,FETH,root,9,9,C,RMBL.FETH.root.9.C,0.46,0,0.06,0.05,0.51
ITS49,54,RMBL,16-Aug,FETH,FETH,root,5,5,C,RMBL.FETH.root.5.C,0.8,0.09,0.1,0.04,0.84
ITS33,55,Kessler,16-Jul,SONU,SONU,root,1C,1,C,Kessler.SONU.root.1.C,0.08,0,0,0.01,0.09
ITS59,56,RMBL,16-Aug,POPR,POPR,root,8,7,W,RMBL.POPR.root.8.W,0.564356436,0.03960396,0.099009901,0.02970297,0.594059406
ITS22,57,Kessler,16-Jul,SCSC,SCSC,root,4C,4,C,Kessler.SCSC.root.4.C,0.62,0,0.04,0.07,0.69
